I'll help you implement the necessary changes to fix the `parse_duration()` function for negative durations. Let's start by exploring the repository structure and understanding the problem.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(dateparse|duration)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/tests/model_fields/test_durationfield.py
/testbed/tests/forms_tests/field_tests/test_durationfield.py
/testbed/tests/utils_tests/test_duration.py
/testbed/tests/utils_tests/test_dateparse.py
/testbed/django/utils/dateparse.py
/testbed/django/utils/duration.py</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed, excluding hidden items and node_modules:
312M	/testbed
35K	/testbed/AUTHORS
1.5K	/testbed/CONTRIBUTING.rst
283K	/testbed/Django.egg-info
3.5K	/testbed/Django.egg-info/PKG-INFO
273K	/testbed/Django.egg-info/SOURCES.txt
512	/testbed/Django.egg-info/dependency_links.txt
512	/testbed/Django.egg-info/entry_points.txt
512	/testbed/Django.egg-info/not-zip-safe
512	/testbed/Django.egg-info/requires.txt
512	/testbed/Django.egg-info/top_level.txt
512	/testbed/Gruntfile.js
512	/testbed/INSTALL
2.0K	/testbed/LICENSE
13K	/testbed/LICENSE.python
512	/testbed/MANIFEST.in
2.0K	/testbed/README.rst
29M	/testbed/django
1.0K	/testbed/django/__init__.py
512	/testbed/django/__main__.py
5.0K	/testbed/django/__pycache__
31K	/testbed/django/apps
4.5K	/testbed/django/bin
5.2M	/testbed/django/conf
20M	/testbed/django/contrib
538K	/testbed/django/core
1.5M	/testbed/django/db
17K	/testbed/django/dispatch
256K	/testbed/django/forms
72K	/testbed/django/http
45K	/testbed/django/middleware
5.0K	/testbed/django/shortcuts.py
211K	/testbed/django/template
38K	/testbed/django/templatetags
167K	/testbed/django/test
45K	/testbed/django/urls
320K	/testbed/django/utils
176K	/testbed/django/views
6.7M	/testbed/docs
6.0K	/testbed/docs/Makefile
1.0K	/testbed/docs/README
18K	/testbed/docs/_ext
865K	/testbed/docs/_theme
12K	/testbed/docs/conf.py
512	/testbed/docs/contents.txt
43K	/testbed/docs/faq
2.5K	/testbed/docs/glossary.txt
232K	/testbed/docs/howto
13K	/testbed/docs/index.txt
361K	/testbed/docs/internals
351K	/testbed/docs/intro
5.0K	/testbed/docs/make.bat
76K	/testbed/docs/man
19K	/testbed/docs/misc
2.3M	/testbed/docs/ref
1.1M	/testbed/docs/releases
7.5K	/testbed/docs/spelling_wordlist
1.4M	/testbed/docs/topics
7.5K	/testbed/extras
512	/testbed/extras/Makefile
512	/testbed/extras/README.TXT
2.5K	/testbed/extras/django_bash_completion
166K	/testbed/js_tests
22K	/testbed/js_tests/admin
8.0K	/testbed/js_tests/gis
127K	/testbed/js_tests/qunit
4.5K	/testbed/js_tests/tests.html
512	/testbed/package.json
13K	/testbed/scripts
7.5K	/testbed/scripts/manage_translations.py
1.0K	/testbed/scripts/rpm-install.sh
512	/testbed/setup.cfg
5.0K	/testbed/setup.py
13M	/testbed/tests
512	/testbed/tests/README.rst
6.5K	/testbed/tests/absolute_url_overrides
6.0K	/testbed/tests/admin_autodiscover
66K	/testbed/tests/admin_changelist
35K	/testbed/tests/admin_checks
13K	/testbed/tests/admin_custom_urls
6.0K	/testbed/tests/admin_default_site
32K	/testbed/tests/admin_docs
60K	/testbed/tests/admin_filters
66K	/testbed/tests/admin_inlines
12K	/testbed/tests/admin_ordering
9.0K	/testbed/tests/admin_registration
210K	/testbed/tests/admin_scripts
33K	/testbed/tests/admin_utils
429K	/testbed/tests/admin_views
77K	/testbed/tests/admin_widgets
54K	/testbed/tests/aggregation
68K	/testbed/tests/aggregation_regress
32K	/testbed/tests/annotations
32K	/testbed/tests/app_loading
44K	/testbed/tests/apps
341K	/testbed/tests/auth_tests
138K	/testbed/tests/backends
4.5K	/testbed/tests/base
17K	/testbed/tests/bash_completion
36K	/testbed/tests/basic
8.5K	/testbed/tests/builtin_server
20K	/testbed/tests/bulk_create
97K	/testbed/tests/cache
75K	/testbed/tests/check_framework
6.0K	/testbed/tests/choices
19K	/testbed/tests/conditional_processing
13K	/testbed/tests/constraints
53K	/testbed/tests/contenttypes_tests
18K	/testbed/tests/context_processors
39K	/testbed/tests/csrf_tests
10K	/testbed/tests/custom_columns
30K	/testbed/tests/custom_lookups
37K	/testbed/tests/custom_managers
7.0K	/testbed/tests/custom_methods
7.5K	/testbed/tests/custom_migration_operations
15K	/testbed/tests/custom_pk
9.5K	/testbed/tests/datatypes
10K	/testbed/tests/dates
12K	/testbed/tests/datetimes
188K	/testbed/tests/db_functions
7.0K	/testbed/tests/db_typecasts
7.0K	/testbed/tests/db_utils
13K	/testbed/tests/dbshell
19K	/testbed/tests/decorators
17K	/testbed/tests/defer
18K	/testbed/tests/defer_regress
28K	/testbed/tests/delete
22K	/testbed/tests/delete_regress
9.5K	/testbed/tests/deprecation
13K	/testbed/tests/dispatch
12K	/testbed/tests/distinct_on_fields
9.0K	/testbed/tests/empty
76K	/testbed/tests/expressions
59K	/testbed/tests/expressions_case
48K	/testbed/tests/expressions_window
21K	/testbed/tests/extra_regress
29K	/testbed/tests/field_deconstruction
5.5K	/testbed/tests/field_defaults
5.0K	/testbed/tests/field_subclassing
49K	/testbed/tests/file_storage
35K	/testbed/tests/file_uploads
116K	/testbed/tests/files
24K	/testbed/tests/filtered_relation
70K	/testbed/tests/fixtures
17K	/testbed/tests/fixtures_model_package
76K	/testbed/tests/fixtures_regress
52K	/testbed/tests/flatpages_tests
7.5K	/testbed/tests/force_insert_update
45K	/testbed/tests/foreign_object
624K	/testbed/tests/forms_tests
6.5K	/testbed/tests/from_db_value
24K	/testbed/tests/generic_inline_admin
46K	/testbed/tests/generic_relations
22K	/testbed/tests/generic_relations_regress
159K	/testbed/tests/generic_views
14K	/testbed/tests/get_earliest_or_latest
10K	/testbed/tests/get_object_or_404
31K	/testbed/tests/get_or_create
1.6M	/testbed/tests/gis_tests
23K	/testbed/tests/handlers
35K	/testbed/tests/httpwrappers
19K	/testbed/tests/humanize_tests
564K	/testbed/tests/i18n
4.5K	/testbed/tests/import_error_package
21K	/testbed/tests/indexes
14K	/testbed/tests/inline_formsets
27K	/testbed/tests/inspectdb
17K	/testbed/tests/introspection
123K	/testbed/tests/invalid_models_tests
12K	/testbed/tests/known_related_objects
27K	/testbed/tests/logging_tests
52K	/testbed/tests/lookup
8.0K	/testbed/tests/m2m_and_m2o
7.0K	/testbed/tests/m2m_intermediary
7.5K	/testbed/tests/m2m_multiple
11K	/testbed/tests/m2m_recursive
12K	/testbed/tests/m2m_regress
21K	/testbed/tests/m2m_signals
27K	/testbed/tests/m2m_through
25K	/testbed/tests/m2m_through_regress
7.0K	/testbed/tests/m2o_recursive
81K	/testbed/tests/mail
19K	/testbed/tests/managers_regress
33K	/testbed/tests/many_to_many
39K	/testbed/tests/many_to_one
12K	/testbed/tests/many_to_one_null
6.5K	/testbed/tests/max_lengths
41K	/testbed/tests/messages_tests
54K	/testbed/tests/middleware
16K	/testbed/tests/middleware_exceptions
15K	/testbed/tests/migrate_signals
11K	/testbed/tests/migration_test_data_persistence
897K	/testbed/tests/migrations
20K	/testbed/tests/migrations2
109K	/testbed/tests/model_fields
150K	/testbed/tests/model_forms
95K	/testbed/tests/model_formsets
27K	/testbed/tests/model_formsets_regress
14K	/testbed/tests/model_indexes
40K	/testbed/tests/model_inheritance
32K	/testbed/tests/model_inheritance_regress
52K	/testbed/tests/model_meta
19K	/testbed/tests/model_options
13K	/testbed/tests/model_package
