case_id,method,agent,model,status,blockers
adaptix-name-mapping-aliases,run_free,codex,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,run_free,mini,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,run_free,mini,claude-opus-5,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,run_free,mini,deepseek-v4.1-flash,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,run_free,mini,qwen3.8-max,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; model.base_url must be supplied for the selected region/workspace; mini-SWE-agent Responses mapping is currently limited to the OpenAI provider
adaptix-name-mapping-aliases,run_free,trae,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,run_free,trae,claude-opus-5,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,run_free,trae,deepseek-v4.1-flash,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,run_free,trae,qwen3.8-max,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; model.base_url must be supplied for the selected region/workspace
adaptix-name-mapping-aliases,run_free,opencode,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; per-model context_limit/output_limit required
adaptix-name-mapping-aliases,run_free,opencode,claude-opus-5,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; per-model context_limit/output_limit required
adaptix-name-mapping-aliases,run_free,opencode,deepseek-v4.1-flash,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; per-model context_limit/output_limit required
adaptix-name-mapping-aliases,run_free,opencode,qwen3.8-max,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; model.base_url must be supplied for the selected region/workspace; unsupported OpenCode provider/protocol combination; no translation; per-model context_limit/output_limit required
adaptix-name-mapping-aliases,turn_control,codex,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,turn_control,mini,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,turn_control,mini,claude-opus-5,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,turn_control,mini,deepseek-v4.1-flash,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; budget profile mapping requires decision
adaptix-name-mapping-aliases,turn_control,mini,qwen3.8-max,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; model.base_url must be supplied for the selected region/workspace; mini-SWE-agent Responses mapping is currently limited to the OpenAI provider; budget profile mapping requires decision
adaptix-name-mapping-aliases,turn_control,trae,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,turn_control,trae,claude-opus-5,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,turn_control,trae,deepseek-v4.1-flash,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; budget profile mapping requires decision
adaptix-name-mapping-aliases,turn_control,trae,qwen3.8-max,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; model.base_url must be supplied for the selected region/workspace; budget profile mapping requires decision
adaptix-name-mapping-aliases,turn_control,opencode,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; per-model context_limit/output_limit required
adaptix-name-mapping-aliases,turn_control,opencode,claude-opus-5,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; per-model context_limit/output_limit required
adaptix-name-mapping-aliases,turn_control,opencode,deepseek-v4.1-flash,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; per-model context_limit/output_limit required; budget profile mapping requires decision
adaptix-name-mapping-aliases,turn_control,opencode,qwen3.8-max,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; model.base_url must be supplied for the selected region/workspace; unsupported OpenCode provider/protocol combination; no translation; per-model context_limit/output_limit required; budget profile mapping requires decision
adaptix-name-mapping-aliases,agent_diet,codex,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; agent general session integration unavailable
adaptix-name-mapping-aliases,agent_diet,mini,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,agent_diet,mini,claude-opus-5,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,agent_diet,mini,deepseek-v4.1-flash,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,agent_diet,mini,qwen3.8-max,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; model.base_url must be supplied for the selected region/workspace; mini-SWE-agent Responses mapping is currently limited to the OpenAI provider
adaptix-name-mapping-aliases,agent_diet,trae,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,agent_diet,trae,claude-opus-5,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,agent_diet,trae,deepseek-v4.1-flash,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete
adaptix-name-mapping-aliases,agent_diet,trae,qwen3.8-max,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; model.base_url must be supplied for the selected region/workspace
adaptix-name-mapping-aliases,agent_diet,opencode,gpt-5.6-sol,blocked_not_started,Docker daemon unreachable; DeepSWE model channel requires Linux host; task loader rejects short commit in unselected task before filtering; prepared agent/verifier images not verified; full artifact retention and case phase timing incomplete; per-model context_limit/output_limit required
